RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
222,0.4239774826357243,0.014000000002509751,0.010007177540591872,0.010000000000000108,0.009999999998608821,0.10996665417577726,0.01000000000237951,0.06366259375941796,0.001999999999775577,0.12596665420433423,0.022000000000010792,0.032000000000774007,0.013999999998909924,0.22720055299366482,0.06000000000007078,0.006,0.024000000019824885,0.05200000005391542,7.976934133944884e-15,0.010000000000000005,0.02600000000000007,0.008007177540591881,0.038000009108109516,0.03800000000000001,0.04400000000000001,0.008000000000000002,0.02004882316270037,0.006,0.033969256673019387,0.03605108019571549,0.024000012272778662,0.15199079101320695,0.1320035783882131,0.15199942423358737,0.21203074727752683,0.014000000000030832,0.04799739345375617,0.012000000053344036,0.010000000636413068,0.01000000141230951,0.13200058481422194,0.03000000000002078,0.13797649255443908,0.06997389401598575,0.008000003966209621,1.5368010263285063e-14,0.005999999998616938,0.197695797038238,0.001999999999776411,0.00800000000000008,0.002000000000000838,0.0,0.016006911378182182,0.005999999999775577,0.0648001606313277
854,0.15800901875340953,0.02200015285815059,0.0,0.012,0.004,0.1704388608844709,0.09979719636654968,0.2333965183180196,0.033850209880606046,0.07000000401373145,0.0,0.02599595504385405,0.033999847013693685,0.2099099662746001,0.021999986170411337,0.012,2.4665742239232522e-11,0.04400000005332291,0.034000000025760584,0.00620855383631703,0.014000000000000278,0.003909950637749165,0.030000009114390463,0.016,0.004000000000003462,0.018000000006263298,0.02404882316268475,0.006000000025760581,0.05175965986236433,0.020051080266506264,0.00600001234279903,0.10599094389200046,0.13000373131670198,0.10799957711934313,0.021909954587321045,0.004,0.006,0.0040000000533313256,0.006000000636014862,0.018000001411890412,0.08200058481425083,0.026,0.0722846172412808,0.055996026378861065,0.024000003966209525,0.020000000000017667,0.002000000025760581,0.21546385317356284,0.019999847013694425,0.01808149335205326,0.023994847874432297,0.10391788523553218,0.00800691137840254,0.0,0.04200055903054771
541,0.269999302927881,0.009999302704722575,0.0020000001187622067,0.01600064405842175,0.003999991015351347,0.015994374035894886,0.03999999101535135,0.04599437048322982,0.0,0.09399930282486522,0.0,0.006000000002159902,0.0020000000000000013,0.39799950382784344,0.016000000066349704,0.004,0.002,0.03200001091602297,0.008000000068559486,0.0,0.10399929929446321,0.010000000000205416,0.14199980635589848,0.05199980654435885,0.058000193691452075,0.05200000000390365,0.014000000192397402,0.002000000000000001,0.04600000000215988,0.014000686147876681,0.004000000000000027,0.04600004189055886,0.10600068596188346,0.044000000002335525,0.035999311692078956,9.330209415432525e-17,0.004000003480712734,8.069233052561133e-13,0.006,0.014000000000182153,0.1540006968638189,0.06000069686406707,0.10799930270433719,0.02199999120751484,6.122953760876729e-13,0.004,0.0,0.18200480590937101,5.629516771300289e-06,0.02400000000068706,0.006000000010170442,0.007994361498580047,0.00200000000001689,0.014,0.07800000000000079
417,0.17313235519330586,0.011998739292105192,0.004000000000129699,0.002,0.02199999796597714,0.08297324820655719,0.07575105327130302,0.11238605134881119,0.008,0.1319986827795732,0.014508512513010068,0.02799932680486214,0.02799722319085528,0.30549322283891245,0.04113361589538705,0.022000000000013613,0.0,0.020385967869940343,0.015916794420915946,0.006651571281287334,0.015998059124981107,0.0,0.030000000017674007,0.03199997381858702,0.021999973818577555,0.008000000034431716,0.14598106857695084,0.006000000000002731,0.04826919385531409,0.012000000001056976,0.004000000033100321,0.15200131734497074,0.16400131732716125,0.07798106842518236,0.03400409243730461,0.00798168215743606,0.01934425349202931,6.122936582264797e-07,0.008652183226228873,0.002000000000007776,0.1340013173257238,0.0020000000008444634,0.037996553387268525,0.04999762364053446,0.00800000301102119,0.014000000410756311,0.015999999838027405,0.23620347547384374,0.013999999999941885,0.01200000000012098,0.02800000000106463,0.027997623599118917,0.016000000006370512,0.002000000000057964,0.014
229,0.12588922626770796,0.004000002619583456,0.006,0.0,0.013999999896688375,0.16195434159166233,0.04800000261958397,0.09204560476184206,0.006000000000000216,0.15200000390002644,0.010000000000000023,0.036000000000000074,0.023999999896962783,0.36399994495241406,0.03600000000000006,0.006,0.0040000000000000565,0.01800000000073705,0.052000000000000136,0.002,0.03600000000000016,0.006000000000000021,0.02,0.004,0.05000000000014325,0.014,0.11400000000281713,0.00600000000000547,0.09200000048859751,0.006000000002818184,0.0020000000000031325,0.060000000102058026,0.02800000006997781,0.08199999175321829,0.044000000108570116,0.002,0.02600000003997791,0.012000000000000469,0.020000000000000077,0.006000000000000021,0.030000000001686834,0.014,0.028331731055870994,0.02366826413250367,0.008000000068441374,0.006000000000000063,0.01799994329467755,0.27571392759412366,0.0020000000000001323,0.008000000000000387,0.0040000000006652535,0.018,0.011954332823578724,0.008,0.024
201,0.11999984317207411,0.0019999865123028465,0.00400000419179602,0.011999897880462976,0.013999999992654107,0.05008869758777833,0.02000000000003235,0.03399962836186253,0.004000311602502834,0.05399095050580343,0.014000000000010816,0.014000000055380742,0.016000036989168017,0.21790987571123122,0.012000000041912085,0.002,1.3537597599089719e-11,0.05800009024665018,0.01000000000974088,5.389605031414949e-18,0.030000027700516546,0.24304217704967687,0.011999970676921474,0.008000000006630559,0.014000000093918571,0.014000000088540278,0.07653006749830468,0.020000000000000483,0.06799999428850918,0.026000000009746654,0.004000000000003977,0.04800009311375556,0.06800009026651448,0.05599997067954012,0.015908546711692825,1.3458935609128774e-13,0.01600000424140705,0.03200000000005734,0.03799996799372882,0.06599981278525444,0.1339999688543512,0.03799988187879862,0.010008140700036212,0.027990072531654895,6.446000705486368e-13,5.772343830474081e-17,0.013999999996066036,0.16807279773554926,0.0020000000000001323,0.19200000131920295,0.0059996855586510025,0.007999688397747937,0.009998441628395565,0.002,0.022000000000003957
480,0.1163039519222219,0.0020000566475000562,0.0020000000000001696,0.004,0.08199135249764607,0.05926508763298583,0.03599994087671405,0.0906498682437348,1.3674379774457555e-14,0.11830395419258227,0.00400000000068023,0.01799932678934048,0.05199056119417989,0.22767485403323157,0.010008704201263433,0.0020000000000273592,0.010008704200982764,0.017999999999956745,0.042000000041374747,0.0020000012013981204,0.007999383436336374,0.007999999999934681,0.012000000008368645,0.008000000000000038,0.018000000011050427,0.01000000003438217,0.13800000008371524,0.02392851823043253,0.11811224830945544,0.08170475010199517,0.04400000005500567,0.08400000049650018,0.06400000023195088,0.12769416427114763,0.010000612073500857,0.009614110127673723,0.008000612079119484,0.006000612133837482,0.03596268848062206,0.004000000000385673,0.09000000003719792,0.014000000198547297,0.05200000021071504,0.02399994100781335,0.03400000301208096,0.010000000410786119,0.05199817777943891,0.3544906013166007,0.009999942199601534,0.01999994087499863,0.018000001333841446,0.0239999408736236,0.02162123444973225,0.002000000000654026,0.01000000000000179
321,0.18948689883938294,0.004000056647492233,0.002,0.006,0.04599129802666111,0.06827839204658029,0.026000002954770934,0.09655737448560686,0.0020000000039756137,0.1721373265735605,0.004000000000043371,0.027999326789134818,0.07199062228166274,0.11384971465339694,0.03746016859765696,0.020000000002376006,0.026008699281739708,0.008000000000016223,0.004000000045009866,0.006277450245257552,0.013999376585355567,0.0020000000000000204,0.010000000001863848,0.004000000001198924,0.010000000000074744,0.0020000000352988234,0.028000000477438575,0.04399468225069349,0.11610727335196393,0.028000000000005108,0.0360001462411772,0.09655709515034289,0.0940000017092368,0.11543326601793033,0.01800061206165493,0.01600061329002643,0.011723163023420862,0.00400061206163402,0.01027806230572116,0.003898049254033823,0.07544290826969516,0.03800000000147687,0.11346972654486824,0.04999985553477426,0.11199985850366702,4.1239576052821864e-10,0.0699990601948868,0.2959888347333085,0.004000000530764265,0.012000000000000106,0.05600000053247729,0.03995563197422726,0.01200000000690956,0.002000000000002947,0.04200000000000087
322,0.18804005314688912,0.004,0.004000000058417699,0.006000000000000153,0.04947732509726272,0.07523963534317171,0.05332122070066241,0.06808341360636905,0.008000000000000038,0.08800000589646026,0.015999675489521113,0.0159896092714313,0.02799999847223639,0.29202966982917233,0.026010389151718324,0.01,5.185950573770553e-17,0.048000000000609055,0.01800000080106996,0.010144042665975099,0.014000000000000349,0.014000000000000009,0.030000000000001005,0.012000000000002058,0.04400000005761327,0.014000000000000002,0.19799988406876187,0.008020102553490876,0.0571771831217169,0.03600000000132962,8.447914448817332e-16,0.08400000000314306,0.04200000000174135,0.1159998831489931,0.08000000000429722,0.09188653998027371,0.0259983529085009,0.012000000000033657,0.08199999490768647,0.01400000000047128,0.03799999908270332,0.006000000000020799,0.029999998427257576,0.03399999847700368,0.01000000000000016,0.014204591718978974,0.014000000607516735,0.29384529649950797,0.017999995466867248,0.0479999970437415,0.008000000000004228,0.019999997043744423,0.03199835794533209,0.004,0.024000000000000014
764,0.25200239548186626,0.009997925554377769,0.002000026516281894,0.012000022248096686,0.04197630503020546,0.05998562864777961,0.06199999878039227,0.11200869919441259,0.010000000002683484,0.20622329865836478,0.03800000000016172,0.04600000000156685,0.07599129509574547,0.22160481583606995,0.042008714814149056,0.018000000005986293,0.026008699281907563,0.014000000199322408,0.02200000080482397,0.01001704420221026,0.01398293787675154,6.0451387181214474e-12,0.010000000001367911,0.0020000000011989234,0.006000000082010397,0.008000000000867584,0.0420000004540075,0.03799468223606254,0.10420923358704434,0.028000000002373345,0.042000001687262305,0.06600000170027708,0.11600000169761389,0.06799068367130193,0.06196793657675975,0.024017044216883544,0.036000000099259445,0.006017045335865913,0.015856468677150536,0.005796098507737052,0.11000000169720546,0.04400000000095555,0.08199365194114737,0.06199999904514607,0.058000000000085455,0.0080000000652142,0.06799937414247471,0.30213821442989325,0.02799999581927364,0.03199999581963801,0.028000000002813212,0.051999995819655365,0.020000000358327902,0.003999999998992253,0.038000000349925525
